ID,PLOT,BLOCK,TRT,REP,CODE,EVAL,DAP,FLM,FSM,FTM,FRM,NOT,sFLM,sFSM,sFTM,sFRM,sDLM,sDSM,sDTM,sDRM,,
1,1,1,Yungay,1,YUN,E1,94,157.1,111.9,46.3,104.1,14,101.3,100.7,46.3,104.1,12,7,5.7,16.3,,
2,1,1,Yungay,2,YUN,E1,94,264.8,108.4,163.3,113.7,42,100.2,101.3,100.2,102.2,11,6.8,12.9,11.3,,
3,1,1,Yungay,3,YUN,E1,94,178.8,84.1,312.7,46.8,17,102.2,84.1,102.4,46.8,11,5.7,12.6,6.7,,
4,1,1,Yungay,4,YUN,E1,94,198.1,95.6,50.6,65.8,12,102.7,95.6,50.6,65.8,9.9,5.9,7,7.4,,
5,2,1,Huevo de Indio,1,HUE,E1,94,239.9,223.4,105.6,69.3,18,101.9,101.5,100.4,69.3,11.9,7.5,15.9,11.4,,
6,2,1,Huevo de Indio,2,HUE,E1,94,303.6,179.4,176.1,73.1,14,103.3,103.1,101.1,73.1,12.1,8.8,17.9,9.4,,
7,2,1,Huevo de Indio,3,HUE,E1,94,344.3,370.9,165.9,125.6,24,101.5,100.6,100.2,100.3,11.4,7.3,18.5,13.6,,
8,2,1,Huevo de Indio,4,HUE,E1,94,452.8,339.7,335.7,110.6,15,100.2,100.6,100.8,102.3,11.2,8.1,20.9,13.9,,
9,3,1,Poderosa,1,POD,E1,94,581.9,587.8,101.6,165.6,18,102.3,101.3,101.6,100.7,12,8.7,16,20.6,,
10,3,1,Poderosa,2,POD,E1,94,944.7,1160.4,350,238.6,42,100.1,100.1,100.2,100.7,13.3,9.7,16,16.9,,
11,3,1,Poderosa,3,POD,E1,94,774.5,830.6,240.3,153.1,17,100.9,101.5,103.8,102.8,11.2,9.9,19,16.1,,
12,3,1,Poderosa,4,POD,E1,94,527.1,542.7,188.9,106.6,19,102.1,102.2,103.5,106.6,12.5,10.5,18.8,18.4,,
13,4,1,Bretaña,1,BRE,E1,94,390.1,309.1,209.8,209.1,22,100.1,101.7,103.6,100.8,9.7,5.6,14.9,10.2,,
14,4,1,Bretaña,2,BRE,E1,94,655.8,569.2,170.1,106.6,10,101.5,101.3,100.9,106.6,9.9,6,15.1,11.2,,
15,4,1,Bretaña,3,BRE,E1,94,824.1,913.5,362.9,163.5,19,100.6,101.1,103.1,103.3,9.3,5.8,16.2,12.3,,
16,4,1,Bretaña,4,BRE,E1,94,519.9,570.1,168.4,119.9,10,100.4,101.1,100.7,100.3,9.3,6.3,15.3,13,,
17,5,1,Amarilis,1,AMA,E1,94,777.5,431.9,1252.6,115.2,14,100.6,101.6,102.8,102.6,10.8,7.7,13,14.4,,
18,5,1,Amarilis,2,AMA,E1,94,466.2,433.1,713,59.1,24,100,101,100.2,59.1,11.4,6.4,12.1,7.7,,
19,5,1,Amarilis,3,AMA,E1,94,578.2,568.8,1028,93.2,15,100,101.1,93.2,93.5,8.7,6.7,13.6,10.3,,
20,5,1,Amarilis,4,AMA,E1,94,737.3,421.4,1279.8,90,23,100.3,100.5,101.5,90,10.8,8.5,15.7,11.8,,
21,6,2,Yungay,1,YUN,E1,94,541.6,383.9,473.9,169.1,37,100.2,100.5,101.9,100.3,10.4,6.5,11.6,10.6,,
22,6,2,Yungay,2,YUN,E1,94,452.6,257.7,320.1,118.5,12,101.4,100.7,99.4,99.8,9.6,5.9,11.6,12.4,,
23,6,2,Yungay,3,YUN,E1,94,383.9,225.8,214.6,90.7,11,100.6,101.9,102.9,90.7,10.8,6.5,11.7,10.5,,
24,6,2,Yungay,4,YUN,E1,94,326.1,123.7,7.4,122.9,3,101.3,100.9,7.4,99.8,10.7,6.2,0.8,8.5,,
25,7,2,Amarilis,1,AMA,E1,94,834.9,596.1,1944.1,104,26,101.3,101.4,104,101.5,10.2,6.9,12.5,13.1,,
26,7,2,Amarilis,2,AMA,E1,94,390.1,299.9,704.4,54.2,21,100.2,101.8,104.6,54.1,10.1,7.4,13.7,7.5,,
