ID,PLOT,BLOCK,TRT,CODE,EVAL,DAP,cc
1,1,1,Yungay,YUN,E1,52,0
2,1,2,Huevo de Indio,HUE,E1,52,5.3476485
3,1,3,Poderosa,POD,E1,52,6.280389
4,1,4,Bretaña,BRE,E1,52,6.452131
5,1,5,Amarilis,AMA,E1,52,11.628242
6,2,6,Yungay,YUN,E1,52,0
7,2,7,Amarilis,AMA,E1,52,9.010486
8,2,8,Huevo de Indio,HUE,E1,52,0
9,2,9,Bretaña,BRE,E1,52,0
10,2,10,Poderosa,POD,E1,52,10.2268335
11,3,11,Amarilis,AMA,E1,52,7.791042
12,3,12,Yungay,YUN,E1,52,0
13,3,13,Bretaña,BRE,E1,52,0
14,3,14,Poderosa,POD,E1,52,7.4448525
15,3,15,Huevo de Indio,HUE,E1,52,5.08991
16,4,16,Amarilis,AMA,E1,52,10.4525185
17,4,17,Bretaña,BRE,E1,52,0
18,4,18,Huevo de Indio,HUE,E1,52,0
19,4,19,Poderosa,POD,E1,52,6.6913295
20,4,20,Yungay,YUN,E1,52,0
21,1,1,Yungay,YUN,E2,59,30.712653
22,1,2,Huevo de Indio,HUE,E2,59,20.058261
23,1,3,Poderosa,POD,E2,59,23.892232
24,1,4,Bretaña,BRE,E2,59,21.4809715
25,1,5,Amarilis,AMA,E2,59,41.595341
26,2,6,Yungay,YUN,E2,59,17.5643735
27,2,7,Amarilis,AMA,E2,59,34.758296
28,2,8,Huevo de Indio,HUE,E2,59,16.135001
29,2,9,Bretaña,BRE,E2,59,20.888629
30,2,10,Poderosa,POD,E2,59,19.4586065
31,3,11,Amarilis,AMA,E2,59,32.2269135
32,3,12,Yungay,YUN,E2,59,19.224632
33,3,13,Bretaña,BRE,E2,59,22.5408125
34,3,14,Poderosa,POD,E2,59,30.244777
35,3,15,Huevo de Indio,HUE,E2,59,19.721509
36,4,16,Amarilis,AMA,E2,59,34.4395875
37,4,17,Bretaña,BRE,E2,59,37.877005
38,4,18,Huevo de Indio,HUE,E2,59,17.2926235
39,4,19,Poderosa,POD,E2,59,34.429979
40,4,20,Yungay,YUN,E2,59,21.9849735
41,1,1,Yungay,YUN,E3,65,42.560566
42,1,2,Huevo de Indio,HUE,E3,65,28.6697445
43,1,3,Poderosa,POD,E3,65,43.1849095
44,1,4,Bretaña,BRE,E3,65,41.1723995
45,1,5,Amarilis,AMA,E3,65,48.9409005
46,2,6,Yungay,YUN,E3,65,28.737888
47,2,7,Amarilis,AMA,E3,65,42.0412275
48,2,8,Huevo de Indio,HUE,E3,65,18.712874
49,2,9,Bretaña,BRE,E3,65,30.826645
50,2,10,Poderosa,POD,E3,65,43.7115135
51,3,11,Amarilis,AMA,E3,65,44.0103475
52,3,12,Yungay,YUN,E3,65,30.3083755
53,3,13,Bretaña,BRE,E3,65,31.186328
54,3,14,Poderosa,POD,E3,65,37.395893
55,3,15,Huevo de Indio,HUE,E3,65,32.162935
56,4,16,Amarilis,AMA,E3,65,45.169941
57,4,17,Bretaña,BRE,E3,65,43.1931915
58,4,18,Huevo de Indio,HUE,E3,65,25.260255
59,4,19,Poderosa,POD,E3,65,43.192934
60,4,20,Yungay,YUN,E3,65,29.601859
61,1,1,Yungay,YUN,E4,67,46.4104595
62,1,2,Huevo de Indio,HUE,E4,67,31.669513
63,1,3,Poderosa,POD,E4,67,45.1283495
64,1,4,Bretaña,BRE,E4,67,46.1123315
65,1,5,Amarilis,AMA,E4,67,53.0094335
66,2,6,Yungay,YUN,E4,67,32.6222535
67,2,7,Amarilis,AMA,E4,67,47.949392
68,2,8,Huevo de Indio,HUE,E4,67,27.71858
69,2,9,Bretaña,BRE,E4,67,36.068453
70,2,10,Poderosa,POD,E4,67,45.326229
71,3,11,Amarilis,AMA,E4,67,50.5590385
72,3,12,Yungay,YUN,E4,67,35.1354455
73,3,13,Bretaña,BRE,E4,67,31.145439
74,3,14,Poderosa,POD,E4,67,60.605501
75,3,15,Huevo de Indio,HUE,E4,67,38.3870085
76,4,16,Amarilis,AMA,E4,67,54.5353395
77,4,17,Bretaña,BRE,E4,67,57.8090325
78,4,18,Huevo de Indio,HUE,E4,67,27.9213965
79,4,19,Poderosa,POD,E4,67,62.1562215
80,4,20,Yungay,YUN,E4,67,38.354979
81,1,1,Yungay,YUN,E5,70,67.087063
82,1,2,Huevo de Indio,HUE,E5,70,50.2218225
83,1,3,Poderosa,POD,E5,70,68.8489875
84,1,4,Bretaña,BRE,E5,70,51.5315855
85,1,5,Amarilis,AMA,E5,70,76.656395
86,2,6,Yungay,YUN,E5,70,40.842234
87,2,7,Amarilis,AMA,E5,70,70.6422995
88,2,8,Huevo de Indio,HUE,E5,70,33.0433485
89,2,9,Bretaña,BRE,E5,70,39.488749
90,2,10,Poderosa,POD,E5,70,77.2495195
91,3,11,Amarilis,AMA,E5,70,55.721491
92,3,12,Yungay,YUN,E5,70,33.4975385
93,3,13,Bretaña,BRE,E5,70,35.0219105
94,3,14,Poderosa,POD,E5,70,67.274111
95,3,15,Huevo de Indio,HUE,E5,70,44.221134
96,4,16,Amarilis,AMA,E5,70,58.645685
97,4,17,Bretaña,BRE,E5,70,64.569885
98,4,18,Huevo de Indio,HUE,E5,70,29.525614
99,4,19,Poderosa,POD,E5,70,67.9610595
100,4,20,Yungay,YUN,E5,70,43.778106
101,1,1,Yungay,YUN,E6,76,78.0107005
102,1,2,Huevo de Indio,HUE,E6,76,60.9703525
103,1,3,Poderosa,POD,E6,76,85.307133
104,1,4,Bretaña,BRE,E6,76,68.6971055
105,1,5,Amarilis,AMA,E6,76,92.2825815
106,2,6,Yungay,YUN,E6,76,53.557049
107,2,7,Amarilis,AMA,E6,76,82.5502585
108,2,8,Huevo de Indio,HUE,E6,76,43.3142145
109,2,9,Bretaña,BRE,E6,76,49.722292
110,2,10,Poderosa,POD,E6,76,95.6876485
111,3,11,Amarilis,AMA,E6,76,64.2164615
112,3,12,Yungay,YUN,E6,76,45.16173
113,3,13,Bretaña,BRE,E6,76,43.425276
114,3,14,Poderosa,POD,E6,76,81.877556
115,3,15,Huevo de Indio,HUE,E6,76,56.5930845
116,4,16,Amarilis,AMA,E6,76,73.162094
117,4,17,Bretaña,BRE,E6,76,78.483738
118,4,18,Huevo de Indio,HUE,E6,76,39.0887265
119,4,19,Poderosa,POD,E6,76,81.6662255
120,4,20,Yungay,YUN,E6,76,54.097937
121,1,1,Yungay,YUN,E7,80,88.1695175
122,1,2,Huevo de Indio,HUE,E7,80,61.964521
123,1,3,Poderosa,POD,E7,80,94.308178
124,1,4,Bretaña,BRE,E7,80,74.8084105
125,1,5,Amarilis,AMA,E7,80,91.6725655
126,2,6,Yungay,YUN,E7,80,61.118038
127,2,7,Amarilis,AMA,E7,80,88.5271835
128,2,8,Huevo de Indio,HUE,E7,80,44.438721
129,2,9,Bretaña,BRE,E7,80,56.0208015
130,2,10,Poderosa,POD,E7,80,94.6856765
131,3,11,Amarilis,AMA,E7,80,73.4706425
132,3,12,Yungay,YUN,E7,80,51.0081195
133,3,13,Bretaña,BRE,E7,80,48.8457125
134,3,14,Poderosa,POD,E7,80,89.622795
135,3,15,Huevo de Indio,HUE,E7,80,62.593643
136,4,16,Amarilis,AMA,E7,80,84.960884
137,4,17,Bretaña,BRE,E7,80,88.988777
138,4,18,Huevo de Indio,HUE,E7,80,42.566807
139,4,19,Poderosa,POD,E7,80,87.147007
140,4,20,Yungay,YUN,E7,80,66.6878395
141,1,1,Yungay,YUN,E8,86,79.7610935
142,1,2,Huevo de Indio,HUE,E8,86,54.1742915
143,1,3,Poderosa,POD,E8,86,96.353695
144,1,4,Bretaña,BRE,E8,86,77.411747
145,1,5,Amarilis,AMA,E8,86,86.9332505
146,2,6,Yungay,YUN,E8,86,60.5086215
147,2,7,Amarilis,AMA,E8,86,88.404606
148,2,8,Huevo de Indio,HUE,E8,86,45.367212
149,2,9,Bretaña,BRE,E8,86,59.621044
150,2,10,Poderosa,POD,E8,86,91.0276225
151,3,11,Amarilis,AMA,E8,86,72.6763055
152,3,12,Yungay,YUN,E8,86,50.6716405
153,3,13,Bretaña,BRE,E8,86,54.1761135
154,3,14,Poderosa,POD,E8,86,89.125973
155,3,15,Huevo de Indio,HUE,E8,86,63.8697055
156,4,16,Amarilis,AMA,E8,86,86.904625
157,4,17,Bretaña,BRE,E8,86,83.725418
158,4,18,Huevo de Indio,HUE,E8,86,38.802244
159,4,19,Poderosa,POD,E8,86,94.949932
160,4,20,Yungay,YUN,E8,86,61.675604
161,1,1,Yungay,YUN,E9,98,90.6005135
162,1,2,Huevo de Indio,HUE,E9,98,68.148163
163,1,3,Poderosa,POD,E9,98,97.131569
164,1,4,Bretaña,BRE,E9,98,95.196434
165,1,5,Amarilis,AMA,E9,98,91.0466305
166,2,6,Yungay,YUN,E9,98,82.4742395
167,2,7,Amarilis,AMA,E9,98,91.8756065
168,2,8,Huevo de Indio,HUE,E9,98,58.9689465
169,2,9,Bretaña,BRE,E9,98,80.4383625
170,2,10,Poderosa,POD,E9,98,94.091003
171,3,11,Amarilis,AMA,E9,98,77.9040565
172,3,12,Yungay,YUN,E9,98,57.129942
173,3,13,Bretaña,BRE,E9,98,69.3371185
174,3,14,Poderosa,POD,E9,98,93.59948
175,3,15,Huevo de Indio,HUE,E9,98,83.247303
176,4,16,Amarilis,AMA,E9,98,93.877464
177,4,17,Bretaña,BRE,E9,98,90.6862415
178,4,18,Huevo de Indio,HUE,E9,98,52.5451145
179,4,19,Poderosa,POD,E9,98,96.3910145
180,4,20,Yungay,YUN,E9,98,76.9431325
181,1,1,Yungay,YUN,E10,110,95.9
182,1,2,Huevo de Indio,HUE,E10,110,76.05
183,1,3,Poderosa,POD,E10,110,97.55
184,1,4,Bretaña,BRE,E10,110,96.65
185,1,5,Amarilis,AMA,E10,110,96.05
186,2,6,Yungay,YUN,E10,110,89
187,2,7,Amarilis,AMA,E10,110,98.55
188,2,8,Huevo de Indio,HUE,E10,110,76.7
189,2,9,Bretaña,BRE,E10,110,94.8
190,2,10,Poderosa,POD,E10,110,96.5
191,3,11,Amarilis,AMA,E10,110,85.8
192,3,12,Yungay,YUN,E10,110,66.85
193,3,13,Bretaña,BRE,E10,110,90.25
194,3,14,Poderosa,POD,E10,110,95.65
195,3,15,Huevo de Indio,HUE,E10,110,89.3
196,4,16,Amarilis,AMA,E10,110,97.1
197,4,17,Bretaña,BRE,E10,110,92.7
198,4,18,Huevo de Indio,HUE,E10,110,68.15
199,4,19,Poderosa,POD,E10,110,94.95
200,4,20,Yungay,YUN,E10,110,76.75
201,1,1,Yungay,YUN,E11,121,96.0206415
202,1,2,Huevo de Indio,HUE,E11,121,73.0476495
203,1,3,Poderosa,POD,E11,121,98.9782335
204,1,4,Bretaña,BRE,E11,121,95.120228
205,1,5,Amarilis,AMA,E11,121,78.1982195
206,2,6,Yungay,YUN,E11,121,87.192173
207,2,7,Amarilis,AMA,E11,121,89.2053945
208,2,8,Huevo de Indio,HUE,E11,121,82.00322
209,2,9,Bretaña,BRE,E11,121,93.0824815
210,2,10,Poderosa,POD,E11,121,93.2738455
211,3,11,Amarilis,AMA,E11,121,84.033676
212,3,12,Yungay,YUN,E11,121,66.7535935
213,3,13,Bretaña,BRE,E11,121,76.832867
214,3,14,Poderosa,POD,E11,121,96.1426925
215,3,15,Huevo de Indio,HUE,E11,121,93.5433425
216,4,16,Amarilis,AMA,E11,121,95.372059
217,4,17,Bretaña,BRE,E11,121,91.953659
218,4,18,Huevo de Indio,HUE,E11,121,70.750938
219,4,19,Poderosa,POD,E11,121,95.654255
220,4,20,Yungay,YUN,E11,121,91.2832985
221,1,1,Yungay,YUN,E12,129,91.233612
222,1,2,Huevo de Indio,HUE,E12,129,67.183241
223,1,3,Poderosa,POD,E12,129,73.2753655
224,1,4,Bretaña,BRE,E12,129,94.3190995
225,1,5,Amarilis,AMA,E12,129,67.7231365
226,2,6,Yungay,YUN,E12,129,94.3085405
227,2,7,Amarilis,AMA,E12,129,80.7366335
228,2,8,Huevo de Indio,HUE,E12,129,70.5500755
229,2,9,Bretaña,BRE,E12,129,97.1838185
230,2,10,Poderosa,POD,E12,129,94.52108
231,3,11,Amarilis,AMA,E12,129,78.768593
232,3,12,Yungay,YUN,E12,129,70.601147
233,3,13,Bretaña,BRE,E12,129,81.324085
234,3,14,Poderosa,POD,E12,129,96.2813495
235,3,15,Huevo de Indio,HUE,E12,129,87.6741865
236,4,16,Amarilis,AMA,E12,129,86.68594
237,4,17,Bretaña,BRE,E12,129,77.5418165
238,4,18,Huevo de Indio,HUE,E12,129,65.118721
239,4,19,Poderosa,POD,E12,129,90.083439
240,4,20,Yungay,YUN,E12,129,84.347046
241,1,1,Yungay,YUN,E13,149,78.421532
242,1,2,Huevo de Indio,HUE,E13,149,40.7568635
