DATE,TMIN,TEMP,TMAX,RHUM,WVEL,PREC,SRAD
2023-10-24,5.2,9.4,14.3,80.4,1.8,0.0,21.1
2023-10-25,6.1,9.1,14.8,88.6,1.6,2.4,16.1
2023-10-26,6.1,7.6,10.2,95.1,1.9,10.6,8.5
2023-10-27,5.3,7.8,11.8,95.6,1.8,3.6,11.7
2023-10-28,4.3,6.6,10.2,93.7,3.4,0.2,8.5
2023-10-29,3.8,7.5,13.8,84.9,2.9,0.0,17.9
2023-10-30,4.8,8.7,15.7,79.8,2.1,2.0,17.1
2023-10-31,5.1,7.4,10.8,86.1,2.2,1.4,9.9
2023-11-01,5.2,8.6,14.1,70.8,2.5,0.0,19.6
2023-11-02,5.4,8.5,13.4,66.8,1.7,0.0,14.6
2023-11-03,4.9,9.2,15.7,71.6,1.3,0.0,16.1
2023-11-04,6.6,8.1,11.3,92.8,1.4,7.4,7.4
2023-11-05,5.7,7.2,9.1,93.8,1.7,3.4,7.8
2023-11-06,6.6,8.1,11.2,89.2,2.8,0.2,11.8
2023-11-07,6.4,8.7,12.2,84.1,3.1,1.6,15.7
2023-11-08,5.5,8.6,12.7,79.4,2.6,0.0,15.8
2023-11-09,5.1,8.3,12.1,85.4,2.4,0.0,13.2
2023-11-10,5.7,10.1,16.5,77.6,2.3,0.2,18.7
2023-11-11,7.0,9.1,13.2,87.1,1.0,2.0,11.1
2023-11-12,7.2,9.7,14.0,86.8,1.1,0.0,12.9
2023-11-13,6.8,9.2,13.8,88.3,1.1,1.6,10.7
2023-11-14,6.2,9.3,15.7,86.9,1.5,25.8,15.2
2023-11-15,5.1,7.9,12.3,95.2,0.7,6.2,11.7
2023-11-16,6.3,8.4,11.7,93.8,1.1,3.0,15.3
2023-11-17,6.2,8.5,13.1,92.1,1.4,11.8,13.1
2023-11-18,5.3,8.0,13.3,93.1,2.0,0.2,15.4
2023-11-19,4.3,8.8,14.6,87.3,1.8,3.2,21.7
2023-11-20,5.2,8.0,12.2,90.5,1.9,6.2,11.0
2023-11-21,5.2,8.5,14.7,78.0,2.9,0.4,21.8
2023-11-22,3.1,8.4,14.6,61.1,3.3,0.0,25.5
2023-11-23,2.5,7.7,14.4,61.3,2.1,0.0,20.2
2023-11-24,5.3,8.7,14.3,65.2,2.3,0.0,18.8
2023-11-25,5.0,9.6,15.6,68.6,1.6,0.0,25.5
2023-11-26,5.7,6.9,8.3,93.5,0.6,9.4,4.5
